,filename,dominant_color_rgb,dominant_color_name,exact_color_name
116,b669be27eebc01681175850ccf3027be65b45c1c.jpg,"(131, 131, 129)",gray,grey
117,a080e4682030ccd189b04c51e74c160b9980bee4.jpg,"(32, 31, 38)",black,black
118,3e9282466b115b350c39f678fd411e745f3b0b0f.jpg,"(29, 12, 11)",black,black
119,1ad42d6d3d075c09443ebe919a797da8e7d41b0a.jpg,"(115, 83, 61)",green,darkolivegreen
120,5a45d84a8fcf465b57cfe59ae314ece7561c70c4.jpg,"(208, 209, 197)",gray,lightgrey
121,d5dee6a4d6dd3693dcf5d8f13e2087aba9fc67dd.jpg,"(214, 151, 147)",brown,rosybrown
122,aa87d36eebc5eb9063e5a6c778194e3eaf332510.jpg,"(237, 226, 211)",white,antiquewhite
123,b3f25372e595f7f3b1bf36bbc4f717e9ab770253.jpg,"(131, 82, 61)",brown,sienna
124,b641085f9264676c897112b27ad7df01496b780e.jpg,"(33, 33, 30)",black,black
125,d15ead9eb32cdd9af3ec43bdeb740c7a6b857484.jpg,"(49, 26, 27)",black,black
126,5980589fb5ad99813538bc70ea1bcc24e8b4ea87.jpg,"(228, 209, 176)",brown,wheat
127,3ccd688b291739747d5ef6f9ecf590d5477bb943.jpg,"(29, 28, 41)",black,black
128,b0700fa6671b1eb13c46614c89f95ddbcb63523e.jpg,"(219, 212, 206)",gray,lightgrey
129,616ba93bbbd0253c0a0848994491edc24390f3c6.jpg,"(29, 33, 39)",black,black
130,f0c36ad4f942263e40a11282e4d8d3163a331e7f.jpg,"(214, 118, 61)",brown,peru
131,7464d2f2f39e876e868cffd178a58542e8d3ecf1.jpg,"(197, 228, 223)",blue,powderblue
132,82dd170564904472dba677ce7de9ee33d1f0064f.jpg,"(194, 207, 188)",gray,silver
133,675f6d010644b25701a7848ce00dc32f86a182a9.jpg,"(247, 245, 239)",white,whitesmoke
134,0f1ef2a3c5cc3a5058c8e91683687394d5b3f90d.jpg,"(29, 29, 33)",black,black
